index,date,adj_closing_price,ticker
40578,2017-03-21,83.41,MAR
40579,2017-03-22,86.26,MAR
40580,2017-03-23,87.19,MAR
40581,2017-03-24,87.53,MAR
40582,2017-03-27,87.22,MAR
40583,2017-03-28,88.46,MAR
40584,2017-03-29,88.55,MAR
40585,2017-03-30,88.60,MAR
40586,2017-03-31,88.17,MAR
40587,2017-04-03,86.83,MAR
40588,2017-04-04,86.57,MAR
40589,2017-04-05,86.09,MAR
40590,2017-04-06,85.91,MAR
40591,2017-04-07,85.39,MAR
40592,2017-04-10,85.25,MAR
40593,2017-04-11,85.57,MAR
40594,2017-04-12,85.89,MAR
40595,2017-04-13,85.71,MAR
40596,2017-04-17,86.08,MAR
40597,2017-04-18,86.15,MAR
40598,2017-04-19,85.65,MAR
40599,2017-04-20,86.85,MAR
40600,2017-04-21,86.57,MAR
40601,2017-04-24,87.55,MAR
40602,2017-04-25,88.53,MAR
40603,2017-04-26,90.15,MAR
40604,2017-04-27,89.63,MAR
40605,2017-04-28,88.39,MAR
40606,2017-05-01,89.48,MAR
40607,2017-05-02,90.90,MAR
40608,2017-05-03,90.80,MAR
40609,2017-05-04,90.70,MAR
40610,2017-05-05,90.86,MAR
40611,2017-05-08,90.22,MAR
40612,2017-05-09,95.96,MAR
40613,2017-05-10,96.65,MAR
40614,2017-05-11,96.26,MAR
40615,2017-05-12,95.91,MAR
40616,2017-05-15,97.42,MAR
40617,2017-05-16,97.35,MAR
40618,2017-05-17,95.90,MAR
40619,2017-05-18,96.29,MAR
40620,2017-05-19,96.56,MAR
40621,2017-05-22,97.88,MAR
40622,2017-05-23,99.07,MAR
40623,2017-05-24,99.44,MAR
40624,2017-05-25,100.05,MAR
40625,2017-05-26,100.39,MAR
40626,2017-05-30,100.24,MAR
40627,2017-05-31,101.10,MAR
40628,2017-06-01,102.07,MAR
40629,2017-06-02,103.36,MAR
40630,2017-06-05,101.61,MAR
40631,2017-06-06,98.60,MAR
40632,2017-06-07,98.72,MAR
40633,2017-06-08,98.69,MAR
40634,2017-06-09,96.19,MAR
40635,2017-06-12,95.86,MAR
40636,2017-06-13,97.56,MAR
40637,2017-06-14,97.59,MAR
40638,2017-06-15,98.37,MAR
40639,2017-06-16,98.14,MAR
40640,2017-06-19,99.48,MAR
40641,2017-06-20,97.85,MAR
40642,2017-06-21,97.79,MAR
40643,2017-06-22,97.57,MAR
40644,2017-06-23,97.73,MAR
40645,2017-06-26,97.61,MAR
40646,2017-06-27,94.88,MAR
40647,2017-06-28,95.77,MAR
40648,2017-06-29,94.11,MAR
40649,2017-06-30,94.21,MAR
40650,2017-07-03,94.02,MAR
40651,2017-07-05,95.01,MAR
40652,2017-07-06,93.59,MAR
40653,2017-07-07,94.24,MAR
40654,2017-07-10,94.58,MAR
40655,2017-07-11,94.60,MAR
40656,2017-07-12,94.67,MAR
40657,2017-07-13,94.57,MAR
40658,2017-07-14,94.84,MAR
40659,2017-07-17,95.18,MAR
40660,2017-07-18,95.79,MAR
40661,2017-07-19,96.02,MAR
40662,2017-07-20,96.17,MAR
40663,2017-07-21,96.59,MAR
40664,2017-07-24,96.46,MAR
40665,2017-07-25,96.79,MAR
40666,2017-07-26,96.77,MAR
40667,2017-07-27,97.73,MAR
40668,2017-07-28,97.05,MAR
40669,2017-07-31,97.85,MAR
40670,2017-08-01,98.73,MAR
40671,2017-08-02,97.19,MAR
40672,2017-08-03,97.35,MAR
40673,2017-08-04,98.63,MAR
40674,2017-08-07,99.71,MAR
40675,2017-08-08,97.62,MAR
40676,2017-08-09,95.18,MAR
40677,2017-08-10,93.46,MAR
40678,2017-08-11,93.35,MAR
40679,2017-08-14,93.98,MAR
40680,2017-08-15,94.29,MAR
40681,2017-08-16,94.20,MAR
40682,2017-08-17,91.89,MAR
40683,2017-08-18,92.06,MAR
40684,2017-08-21,93.05,MAR
40685,2017-08-22,96.11,MAR
40686,2017-08-23,94.63,MAR
40687,2017-08-24,94.18,MAR
40688,2017-08-25,94.85,MAR
40689,2017-08-28,94.90,MAR
40690,2017-08-29,94.45,MAR
40691,2017-08-30,97.66,MAR
40692,2017-08-31,97.60,MAR
40693,2017-09-01,97.81,MAR
40694,2017-09-05,96.38,MAR
40695,2017-09-06,95.92,MAR
40696,2017-09-07,95.89,MAR
40697,2017-09-08,97.46,MAR
40698,2017-09-11,98.59,MAR
40699,2017-09-12,99.02,MAR
40700,2017-09-13,100.61,MAR
40701,2017-09-14,100.25,MAR
40702,2017-09-15,99.31,MAR
40703,2017-09-18,99.45,MAR
40704,2017-09-19,101.15,MAR
40705,2017-09-20,101.47,MAR
40706,2017-09-21,101.36,MAR
40707,2017-09-22,101.65,MAR
40708,2017-09-25,102.59,MAR
40709,2017-09-26,101.83,MAR
40710,2017-09-27,102.11,MAR
40711,2017-09-28,103.65,MAR
40712,2017-09-29,103.90,MAR
40713,2017-10-02,104.15,MAR
40714,2017-10-03,103.09,MAR
40715,2017-10-04,102.54,MAR
40716,2017-10-05,104.85,MAR
40717,2017-10-06,105.31,MAR
40718,2017-10-09,106.25,MAR
40719,2017-10-10,107.50,MAR
40720,2017-10-11,107.54,MAR
40721,2017-10-12,107.85,MAR
40722,2017-10-13,108.47,MAR
40723,2017-10-16,108.13,MAR
40724,2017-10-17,108.40,MAR
40725,2017-10-18,109.09,MAR
40726,2017-10-19,108.55,MAR
40727,2017-10-20,108.38,MAR
40728,2017-10-23,108.66,MAR
40729,2017-10-24,110.07,MAR
40730,2017-10-25,109.62,MAR
40731,2017-10-26,111.95,MAR
40732,2017-10-27,112.01,MAR
40733,2017-10-30,111.68,MAR
40734,2017-10-31,112.58,MAR
40735,2017-11-01,113.23,MAR
40736,2017-11-02,112.74,MAR
40737,2017-11-03,114.53,MAR
40738,2017-11-06,114.94,MAR
40739,2017-11-07,113.91,MAR
40740,2017-11-08,113.06,MAR
40741,2017-11-09,111.95,MAR
40742,2017-11-10,113.18,MAR
40743,2017-11-13,113.44,MAR
40744,2017-11-14,115.96,MAR
40745,2017-11-15,115.20,MAR
40746,2017-11-16,117.20,MAR
40747,2017-11-17,118.24,MAR
40748,2017-11-20,118.64,MAR
40749,2017-11-21,120.57,MAR
40750,2017-11-22,119.41,MAR
40751,2017-11-24,119.51,MAR
40752,2017-11-27,119.92,MAR
40753,2017-11-28,119.89,MAR
40754,2017-11-29,119.50,MAR
40755,2017-11-30,119.98,MAR
40756,2017-12-01,119.85,MAR
40757,2017-12-04,120.67,MAR
40758,2017-12-05,120.49,MAR
40759,2017-12-06,120.27,MAR
40760,2017-12-07,120.79,MAR
40761,2017-12-08,122.18,MAR
40762,2017-12-11,121.47,MAR
40763,2017-12-12,121.65,MAR
40764,2017-12-13,121.37,MAR
40765,2017-12-14,120.67,MAR
40766,2017-12-15,122.65,MAR
40767,2017-12-18,125.97,MAR
40768,2017-12-19,125.79,MAR
40769,2017-12-20,126.45,MAR
40770,2017-12-21,126.55,MAR
40771,2017-12-22,126.57,MAR
40772,2017-12-26,125.94,MAR
40773,2017-12-27,128.72,MAR
40774,2017-12-28,129.03,MAR
40775,2017-12-29,128.23,MAR
40776,2018-01-02,126.36,MAR
40777,2018-01-03,128.91,MAR
40778,2018-01-04,128.20,MAR
40779,2018-01-05,126.98,MAR
40780,2018-01-08,128.81,MAR
40781,2018-01-09,130.10,MAR
40782,2018-01-10,130.09,MAR
40783,2018-01-11,131.73,MAR
40784,2018-01-12,132.06,MAR
40785,2018-01-16,131.44,MAR
40786,2018-01-17,134.16,MAR
40787,2018-01-18,133.33,MAR
40788,2018-01-19,136.11,MAR
40789,2018-01-22,135.87,MAR
40790,2018-01-23,137.75,MAR
40791,2018-01-24,136.41,MAR
40792,2018-01-25,137.46,MAR
40793,2018-01-26,139.01,MAR
40794,2018-01-29,139.82,MAR
40795,2018-01-30,139.14,MAR
40796,2018-01-31,139.20,MAR
40797,2018-02-01,139.37,MAR
40798,2018-02-02,133.37,MAR
40799,2018-02-05,128.81,MAR
40800,2018-02-06,132.30,MAR
40801,2018-02-07,131.93,MAR
40802,2018-02-08,126.48,MAR
40803,2018-02-09,128.76,MAR
40804,2018-02-12,131.42,MAR
40805,2018-02-13,132.84,MAR
40806,2018-02-14,137.22,MAR
40807,2018-02-15,133.49,MAR
40808,2018-02-16,130.85,MAR
40809,2018-02-20,132.68,MAR
40810,2018-02-21,134.12,MAR
40811,2018-02-22,133.14,MAR
40812,2018-02-23,134.63,MAR
40813,2018-02-26,133.85,MAR
40814,2018-02-27,130.79,MAR
40815,2018-02-28,133.72,MAR
40816,2018-03-01,130.25,MAR
40817,2018-03-02,132.18,MAR
40818,2018-03-05,128.53,MAR
40819,2018-03-06,130.31,MAR
40820,2018-03-07,131.61,MAR
40821,2018-03-08,131.96,MAR
40822,2018-03-09,135.69,MAR
40823,2018-03-12,134.29,MAR
40824,2018-03-13,134.23,MAR
40825,2018-03-14,133.93,MAR
40826,2018-03-15,134.21,MAR
40827,2018-03-16,133.58,MAR
40828,2018-03-19,132.40,MAR
40829,2018-03-20,133.10,MAR
40830,2018-03-21,132.97,MAR
40831,2018-03-22,129.97,MAR
40832,2018-03-23,126.67,MAR
40833,2018-03-26,131.55,MAR
40834,2018-03-27,128.40,MAR
40835,2018-03-28,126.80,MAR
40836,2018-03-29,128.77,MAR
40837,2018-04-02,125.07,MAR
40838,2018-04-03,125.47,MAR
40839,2018-04-04,128.61,MAR
40840,2018-04-05,127.31,MAR
